date	id	age	gender	newsws	days_news	subcat	title	image	author	datetime	text	sentiment	author_bio	passed	finished
[28/Apr/2020:16:20:43]	sr2lvb46m5ok5oak5ourvt69dh	35-44	Female	2	3	5	5	3	3	2	3	3	1	FALSE	TRUE
[28/Apr/2020:16:29:51]	d1c9lmcn449jcf5kgjskel9ntu	35-44	Male	1	7	5	5	1	2	3	5	3	1	TRUE	TRUE
[28/Apr/2020:16:26:55]	2nun9kvtkpuq9skml59duc382m	25-34	Male	2	0	4	3	5	4	5	4	5	5	FALSE	TRUE
[28/Apr/2020:16:26:44]	27pd1he84ost6dciquif4mvb1a	>55	Female	5	0	2	5	5	1	1	5	5	1	FALSE	TRUE
[28/Apr/2020:16:28:32]	5fbv2su3pa7vdhpjiqecuuphgc	45-54	Male	2	3	4	5	5	1	5	5	4	1	TRUE	TRUE
[28/Apr/2020:16:34:45]	5116k5qeiciu02vufr9ich7inm	25-34	Female	1	6	2	2	1	1	1	5	2	1	TRUE	TRUE
[28/Apr/2020:16:27:00]	hbrp4236dgv7qiopafk1ap20h8	25-34	Male	1	7	5	5	1	4	5	5	5	1	TRUE	TRUE
[28/Apr/2020:16:28:30]	4vl5nqt8bsjiepib6bamc099ad	25-34	Male	1	4	3	5	2	1	2	4	3	1	TRUE	TRUE
[28/Apr/2020:16:28:33]	9574g909moq1palvlhci10mvu6	>55	Female	2	3	5	5	5	1	4	5	5	1	TRUE	TRUE
[28/Apr/2020:16:31:40]	9nim3p33oukjvpjkeapjqq3fdi	>55	Female	5	0	2	4	2	4	1	4	4	3	TRUE	TRUE
[28/Apr/2020:16:31:57]	njtia59972fa7abftpie8eapvp	35-44	Male	2	2	4	5	1	1	1	5	5	1	TRUE	TRUE
[28/Apr/2020:16:27:51]	alongctl10cf82qe7tngqu7vbm	35-44	Male	1	7	3	5	3	3	3	4	5	2	TRUE	TRUE
[28/Apr/2020:16:30:33]	7la349p1hk1jpi37sjmdjvbcer	18-24	Female	1	7	5	5	1	1	1	5	5	1	TRUE	TRUE
[28/Apr/2020:16:31:10]	leeulh0o05auludl7c1nlka5c4	45-54	Male	3	1	5	5	5	5	5	5	5	5	FALSE	TRUE
[28/Apr/2020:16:35:54]	kmniolv2dqgcgc1mu9et43ol7r	35-44	Female	3	2	4	5	5	1	1	1	2	1	FALSE	TRUE
[28/Apr/2020:16:32:57]	kk0bk2i2f6b4pbo3v4veudv9hd	18-24	Male	2	7	3	5	4	2	2	4	2	3	TRUE	TRUE
[28/Apr/2020:16:42:21]	29bbbecd9jk92f5e4rn4kpm718	35-44	Male	5	1	3	5	4	1	2	4	3	1	TRUE	TRUE
[28/Apr/2020:16:38:28]	oeui1e0jithttjnhtetoesd9sa	25-34	Male	1	5	3	5	5	3	3	4	4	4	TRUE	TRUE
[28/Apr/2020:16:39:56]	hhvsvvf57siovcfk9fl5nq68jq	25-34	Female	2	1	1	3	1	1	3	5	2	1	TRUE	TRUE
[28/Apr/2020:16:38:44]	vq5kji1fjlrkddg38umfepff2l	45-54	Female	5	0	2	5	4	1	3	5	4	1	TRUE	TRUE
[28/Apr/2020:16:41:24]	tffk98miubqdecrmn7ht6678mo	45-54	Female	2	3	5	3	1	1	1	5	4	1	TRUE	TRUE
[28/Apr/2020:16:38:13]	tbq2gd9dell3v5lfrpb85308am	25-34	Female	5	0	3	5	2	1	1	3	3	1	TRUE	TRUE
[28/Apr/2020:16:41:11]	1032fdtm0lgquf71re8lug0605	35-44	Female	2	4	4	4	4	1	1	5	4	1	TRUE	TRUE
[28/Apr/2020:16:40:29]	4bvs9jurp3jbal90dgbar2ijfd	35-44	Male	2	1	4	5	5	2	5	3	2	2	TRUE	TRUE
[28/Apr/2020:16:39:52]	iut1g5v1ru3us1c63ddkhpptpc	25-34	Female	2	2	4	5	4	1	2	5	5	1	TRUE	TRUE
[28/Apr/2020:16:43:33]	3rgge3iki6n0skclqqoj6fmmtb	45-54	Female	2	1	2	4	1	1	1	5	5	2	TRUE	TRUE
[28/Apr/2020:16:47:27]	bj361md134t2v4nros7agfe760	>55	Female	3	1	4	4	4	1	1	4	4	1	TRUE	TRUE
[28/Apr/2020:16:46:49]	at4tli4hl14ad3eag8t936oqib	>55	Female	2	2	4	5	5	5	2	5	5	1	TRUE	TRUE
[28/Apr/2020:17:36:09]	50kc7a62be4mphes3c8v3id57f	45-54	Male	1	6	4	3	3	4	5	5	3	4	TRUE	TRUE
[28/Apr/2020:17:25:33]	9u39008j0nk6n1iu2pgicp7anc	45-54	Male	1	2	3	4	3	4	4	4	3	3	FALSE	TRUE
[28/Apr/2020:17:36:28]	3al0dbb9suv2nb98d1rfc0hek7	35-44	Male	1	7	4	5	4	3	5	5	4	2	TRUE	TRUE
[28/Apr/2020:17:40:40]	cvv3q0i6ie0un7jjl6cvga1rul	35-44	Female	1	7	5	5	5	5	5	5	5	1	TRUE	TRUE
[28/Apr/2020:17:36:10]	sfa31kr2ak3bnvl581jo765or7	45-54	Male	2	1	2	5	2	2	2	5	5	1	TRUE	TRUE
[28/Apr/2020:17:31:28]	ru6hjgnd0d0jduv95tiesoligp	25-34	Male	5	0	3	3	1	1	1	1	2	1	FALSE	TRUE
